Brunswick High School — Defensive Breakdown (SYNTHETIC SAMPLE — not real film)
PLAY #,ODK,QTR,DN,DIST,HASH,YARD LN,OFF FORM,OFF PLAY,PLAY TYPE,GN/LS,DEF FRONT,COVERAGE,BLITZ,RESULT
1,O,2,2,9,M,+45,Singleback,Smash,Pass,3,4-3 Under,Cover 3,,Tackle
2,O,4,1,10,R,+44,Gun Spread,Inside Zone,Pass,-2,Bear,Cover 4,Y,Tackle
3,O,3,1,10,L,+42,Gun Spread,Four Verts,Pass,11,Nickel Over,Cover 1,,1st Down
4,O,1,1,10,L,+25,Gun Spread,Stick,Run,14,4-3 Under,Cover 3,,TD
5,O,1,3,7,L,-18,Gun Trips Rt,Sweep Rt,Run,-3,Nickel Over,Cover 2,,Tackle
6,O,3,1,10,L,-24,I-Form,Inside Zone,Run,5,4-3 Under,Cover 2,,Tackle
7,O,4,3,3,L,-40,Gun Spread,Sweep Rt,Run,11,Bear,Cover 0,,1st Down
8,O,1,3,7,R,+42,I-Form,Inside Zone,Run,3,4-3 Over,Cover 2,,Tackle
9,O,2,4,11,R,+21,Gun Trips Rt,Counter Lt,Run,1,4-3 Under,Cover 3,,Tackle
10,O,3,1,10,L,+44,Gun Empty,Smash,Pass,-3,4-3 Over,Cover 2,,Tackle
11,O,2,3,3,M,-15,Singleback,Four Verts,Run,4,4-3 Over,Cover 0,Y,1st Down
12,O,3,3,11,L,-30,I-Form,Mesh,Run,-2,4-3 Under,Cover 0,,Tackle
13,O,2,2,9,L,+40,Singleback,Power Rt,Pass,1,Nickel Over,Cover 3,,Tackle
14,O,2,3,2,M,+28,Singleback,Smash,Run,-2,4-3 Over,Cover 1,Y,Tackle
15,O,1,3,6,R,-35,I-Form,Stick,Run,1,Bear,Cover 3,Y,Tackle
16,O,1,2,2,M,-33,Singleback,Counter Lt,Run,1,4-3 Over,Cover 1,,Tackle
17,O,4,2,3,M,-36,Singleback,Inside Zone,Pass,-1,4-3 Over,Cover 1,,Tackle
18,O,3,1,10,L,+26,Gun Empty,Sweep Rt,Run,0,4-3 Under,Cover 3,,Tackle
